"# 13th Generation International Geomagnetic Reference Field Schmidt semi-normalised spherical harmonic coefficients, degree n=1,13",,,,,
"# in units nanoTesla for IGRF and definitive DGRF main-field models (degree n=1,8 nanoTesla/year for secular variation (SV))",,,,,
cos/sin,degree,order,DGRF,IGRF,SV
g/h,n,m,2015,2020,2020-25
g,1,0,-29441.46,-29404.8,5.7
g,1,1,-1501.77,-1450.9,7.4
h,1,1,4795.99,4652.5,-25.9
g,2,0,-2445.88,-2499.6,-11
g,2,1,3012.2,2982,-7
h,2,1,-2845.41,-2991.6,-30.2
g,2,2,1676.35,1677,-2.1
h,2,2,-642.17,-734.6,-22.4
g,3,0,1350.33,1363.2,2.2
g,3,1,-2352.26,-2381.2,-5.9
h,3,1,-115.29,-82.1,6
g,3,2,1225.85,1236.2,3.1
h,3,2,245.04,241.9,-1.1
g,3,3,581.69,525.7,-12
h,3,3,-538.7,-543.4,0.5
g,4,0,907.42,903,-1.2
g,4,1,813.68,809.5,-1.6
h,4,1,283.54,281.9,-0.1
g,4,2,120.49,86.3,-5.9
h,4,2,-188.43,-158.4,6.5
g,4,3,-334.85,-309.4,5.2
h,4,3,180.95,199.7,3.6
g,4,4,70.38,48,-5.1
h,4,4,-329.23,-349.7,-5
g,5,0,-232.91,-234.3,-0.3
g,5,1,360.14,363.2,0.5
h,5,1,46.98,47.7,0
g,5,2,192.35,187.8,-0.6
h,5,2,196.98,208.3,2.5
g,5,3,-140.94,-140.7,0.2
h,5,3,-119.14,-121.2,-0.6
g,5,4,-157.4,-151.2,1.3
h,5,4,15.98,32.3,3
g,5,5,4.3,13.5,0.9
h,5,5,100.12,98.9,0.3
g,6,0,69.55,66,-0.5
g,6,1,67.57,65.5,-0.3
h,6,1,-20.61,-19.1,0
g,6,2,72.79,72.9,0.4
h,6,2,33.3,25.1,-1.6
g,6,3,-129.85,-121.5,1.3
h,6,3,58.74,52.8,-1.3
g,6,4,-28.93,-36.2,-1.4
h,6,4,-66.64,-64.5,0.8
g,6,5,13.14,13.5,0
h,6,5,7.35,8.9,0
g,6,6,-70.85,-64.7,0.9
h,6,6,62.41,68.1,1
g,7,0,81.29,80.6,-0.1
g,7,1,-75.99,-76.7,-0.2
h,7,1,-54.27,-51.5,0.6
g,7,2,-6.79,-8.2,0
h,7,2,-19.53,-16.9,0.6
g,7,3,51.82,56.5,0.7
h,7,3,5.59,2.2,-0.8
g,7,4,15.07,15.8,0.1
h,7,4,24.45,23.5,-0.2
g,7,5,9.32,6.4,-0.5
h,7,5,3.27,-2.2,-1.1
